,Category,Source,Country,Year,value,iso3
0,Animals,Total live animals 1/,Canada,1999,876.9,CAN
1,Animals,Total live animals 1/,Mexico,1999,292.2,MEX
2,Animals,"Bovine animals, live",Canada,1999,639.0,CAN
3,Animals,"Bovine animals, live",Mexico,1999,292.1,MEX
4,Animals,"Swine, live",Canada,1999,216.1,CAN
5,Animals,"Sheep and goats, live",Canada,1999,5.3,CAN
6,Animals,Live poultry 2/,Canada,1999,16.5,CAN
7,Animals,Bird eggs 3/,Canada,1999,13.4,CAN
8,Animals,Bird eggs 3/,China,1999,3.9,CHN
9,Animals,Bird eggs 3/,Thailand,1999,0.7,THA
10,Animals,Bird eggs 3/,Turkey,1999,0.0,TUR
11,Beverages,Total beverages 1/2/,Mexico,1999,763.7,MEX
12,Beverages,Total beverages 1/2/,Italy,1999,581.7,ITA
13,Beverages,Total beverages 1/2/,France,1999,1120.3,FRA
14,Beverages,Total beverages 1/2/,Canada,1999,474.7,CAN
15,Beverages,Total beverages 1/2/,New Zealand,1999,17.8,NZL
16,Beverages,Total beverages 1/2/,Spain,1999,120.5,ESP
17,Beverages,Total beverages 1/2/,Austria,1999,17.2,AUT
18,Beverages,Total beverages 1/2/,Australia,1999,204.3,AUS
19,Beverages,Wine 3/,France,1999,1008.0,FRA
20,Beverages,Wine 3/,Italy,1999,545.9,ITA
21,Beverages,Wine 3/,New Zealand,1999,12.1,NZL
22,Beverages,Wine 3/,Spain,1999,119.2,ESP
23,Beverages,Wine 3/,Australia,1999,203.6,AUS
24,Beverages,Wine 3/,Argentina,1999,21.7,ARG
25,Beverages,Wine 3/,Canada,1999,23.5,CAN
26,Beverages,Malt beer,Mexico,1999,650.4,MEX
27,Beverages,Malt beer,Ireland,1999,85.7,IRL
28,Beverages,Malt beer,Canada,1999,179.0,CAN
29,Beverages,Malt beer,Germany,1999,136.8,DEU
30,Beverages,Malt beer,Belgium,1999,6.9,BEL
31,Beverages,Malt beer,Italy,1999,8.0,ITA
32,Beverages,Nonalcoholic beverages 4/,Mexico,1999,112.8,MEX
33,Beverages,Nonalcoholic beverages 4/,Canada,1999,272.1,CAN
34,Beverages,Nonalcoholic beverages 4/,Italy,1999,27.8,ITA
35,Beverages,Nonalcoholic beverages 4/,Austria,1999,15.0,AUT
36,Beverages,Nonalcoholic beverages 4/,Switzerland,1999,0.4,CHE
37,Beverages,Nonalcoholic beverages 4/,France,1999,110.2,FRA
38,Beverages,Liquors and liqueurs 5/,Mexico,1999,209.6,MEX
39,Beverages,Liquors and liqueurs 5/,France,1999,523.1,FRA
40,Beverages,Liquors and liqueurs 5/,Canada,1999,377.8,CAN
41,Beverages,Liquors and liqueurs 5/,Ireland,1999,145.9,IRL
42,Beverages,Liquors and liqueurs 5/,Italy,1999,62.6,ITA
43,Beverages,Liquors and liqueurs 5/,Sweden,1999,189.6,SWE
44,Cocoa,Total cocoa and products 1/,Canada,1999,346.3,CAN
45,Cocoa,Total cocoa and products 1/,Mexico,1999,38.7,MEX
46,Cocoa,Total cocoa and products 1/,Ghana,1999,39.8,GHA
47,Cocoa,Total cocoa and products 1/,Malaysia,1999,57.0,MYS
48,Cocoa,Total cocoa and products 1/,Ecuador,1999,52.9,ECU
49,Cocoa,Cocoa beans,Ecuador,1999,34.8,ECU
50,Cocoa,Cocoa beans,Ghana,1999,34.4,GHA
51,Cocoa,Cocoa beans,Papua New Guinea,1999,29.0,PNG
52,Cocoa,Cocoa beans,Nigeria,1999,3.3,NGA
53,Cocoa,"Cocoa paste, butter, and powder",Indonesia,1999,56.5,IDN
54,Cocoa,"Cocoa paste, butter, and powder",Malaysia,1999,56.8,MYS
55,Cocoa,"Cocoa paste, butter, and powder",Ghana,1999,5.0,GHA
56,Cocoa,"Cocoa paste, butter, and powder",Ecuador,1999,17.9,ECU
57,Cocoa,"Cocoa paste, butter, and powder",Canada,1999,13.4,CAN
58,Cocoa,"Cocoa paste, butter, and powder",Spain,1999,2.6,ESP
59,Cocoa,Chocolate,Canada,1999,332.8,CAN
60,Cocoa,Chocolate,Mexico,1999,25.8,MEX
61,Cocoa,Chocolate,Belgium,1999,45.2,BEL
62,Cocoa,Chocolate,Germany,1999,28.3,DEU
63,Cocoa,Chocolate,Poland,1999,3.1,POL
64,Cocoa,Chocolate,Italy,1999,10.8,ITA
65,Cocoa,Chocolate,Switzerland,1999,24.5,CHE
66,Cocoa,Chocolate,Croatia,1999,0.4,HRV
67,Coffee,"Total coffee, tea, and spices",Colombia,1999,519.3,COL
68,Coffee,"Total coffee, tea, and spices",Brazil,1999,553.3,BRA
69,Coffee,"Total coffee, tea, and spices",Switzerland,1999,4.0,CHE
70,Coffee,"Total coffee, tea, and spices",Mexico,1999,480.6,MEX
71,Coffee,"Total coffee, tea, and spices",Canada,1999,172.3,CAN
72,Coffee,"Total coffee, tea, and spices",Guatemala,1999,304.5,GTM
73,Coffee,"Coffee beans, unroasted 1/",Brazil,1999,466.7,BRA
74,Coffee,"Coffee beans, unroasted 1/",Colombia,1999,497.3,COL
75,Coffee,"Coffee beans, unroasted 1/",Honduras,1999,49.3,HND
76,Coffee,"Coffee beans, unroasted 1/",Guatemala,1999,301.5,GTM
77,Coffee,"Coffee beans, unroasted 1/",Nicaragua,1999,24.8,NIC
78,Coffee,"Coffee, roasted and instant 2/",Switzerland,1999,0.8,CHE
79,Coffee,"Coffee, roasted and instant 2/",Canada,1999,83.4,CAN
80,Coffee,"Coffee, roasted and instant 2/",Italy,1999,15.4,ITA
81,Coffee,"Coffee, roasted and instant 2/",Colombia,1999,5.4,COL
82,Coffee,"Coffee, roasted and instant 2/",Mexico,1999,6.7,MEX
83,Coffee,Coffee extracts and preparations 3/,Mexico,1999,27.4,MEX
84,Coffee,Coffee extracts and preparations 3/,Colombia,1999,16.2,COL
85,Coffee,Coffee extracts and preparations 3/,Brazil,1999,43.5,BRA
86,Coffee,Coffee extracts and preparations 3/,India,1999,0.1,IND
87,Coffee,Tea and mate,Japan,1999,3.7,JPN
88,Coffee,Tea and mate,Canada,1999,37.0,CAN
89,Coffee,Tea and mate,India,1999,20.3,IND
90,Coffee,Spices,India,1999,144.6,IND
91,Coffee,Spices,Mexico,1999,30.6,MEX
92,Coffee,Spices,Spain,1999,15.7,ESP
93,Coffee,Spices,Peru,1999,0.1,PER
94,Coffee,Spices,Indonesia,1999,100.3,IDN
95,Dairy,Total dairy products 1/,Italy,1999,146.0,ITA
96,Dairy,Total dairy products 1/,Ireland,1999,42.6,IRL
97,Dairy,Total dairy products 1/,New Zealand,1999,165.2,NZL
98,Dairy,Total dairy products 1/,France,1999,74.9,FRA
99,Dairy,Total dairy products 1/,Canada,1999,71.3,CAN
100,Dairy,Total dairy products 1/,Mexico,1999,4.6,MEX
101,Dairy,Total dairy products 1/,Spain,1999,5.1,ESP
102,Dairy,"Cheese, fresh or processed",Italy,1999,146.0,ITA
103,Dairy,"Cheese, fresh or processed",France,1999,73.1,FRA
104,Dairy,"Cheese, fresh or processed",Spain,1999,5.1,ESP
105,Dairy,"Cheese, fresh or processed",Switzerland,1999,31.8,CHE
106,Dairy,"Cheese, fresh or processed",Ireland,1999,10.1,IRL
107,Dairy,"Yogurt, buttermilk, or whey",New Zealand,1999,47.5,NZL
108,Dairy,"Yogurt, buttermilk, or whey",Canada,1999,13.6,CAN
109,Dairy,"Yogurt, buttermilk, or whey",France,1999,0.9,FRA
110,Dairy,"Yogurt, buttermilk, or whey",Denmark,1999,0.3,DNK
111,Dairy,"Yogurt, buttermilk, or whey",Germany,1999,11.5,DEU
112,Dairy,"Yogurt, buttermilk, or whey",Mexico,1999,0.1,MEX
113,Dairy,"Yogurt, buttermilk, or whey",Chile,1999,0.0,CHL
114,Dairy,Milk and cream 2/,Mexico,1999,3.5,MEX
115,Dairy,Milk and cream 2/,Chile,1999,3.0,CHL
116,Dairy,Milk and cream 2/,Canada,1999,15.8,CAN
117,Dairy,Milk and cream 2/,New Zealand,1999,13.3,NZL
118,Dairy,Milk and cream 2/,Peru,1999,0.1,PER
119,Dairy,Butter or spreads,Ireland,1999,0.6,IRL
120,Dairy,Butter or spreads,New Zealand,1999,19.5,NZL
121,Dairy,Butter or spreads,Mexico,1999,0.0,MEX
122,Dairy,Butter or spreads,France,1999,0.9,FRA
